epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,22.3805,0.46918,0.83458,1.0329,0.95297,0.38878,0.42267,0.31573,1.77476,2.33104,1.48523,2.5102e-05,2.5102e-05,2.5102e-05
73,22.6722,0.69975,0.80178,1.11849,0.95297,0.38878,0.42267,0.31573,1.77476,2.33104,1.48523,2.46073e-05,2.46073e-05,2.46073e-05
74,22.9503,0.55751,0.66619,1.0716,0.95297,0.38878,0.42267,0.31573,1.77476,2.33104,1.48523,2.40891e-05,2.40891e-05,2.40891e-05
75,23.2255,0.78993,0.8195,1.13267,0.94024,0.39442,0.42508,0.31758,1.77571,2.37333,1.48336,2.35472e-05,2.35472e-05,2.35472e-05
76,23.4933,0.58073,0.64466,1.0333,0.94024,0.39442,0.42508,0.31758,1.77571,2.37333,1.48336,2.29819e-05,2.29819e-05,2.29819e-05
77,23.7695,0.72781,0.95645,1.10011,0.94024,0.39442,0.42508,0.31758,1.77571,2.37333,1.48336,2.23929e-05,2.23929e-05,2.23929e-05
78,24.0772,0.87316,1.07312,1.2959,0.93001,0.39787,0.42357,0.31717,1.74548,2.34473,1.44335,2.17805e-05,2.17805e-05,2.17805e-05
79,24.3754,0.6915,0.92732,1.14183,0.93001,0.39787,0.42357,0.31717,1.74548,2.34473,1.44335,2.11444e-05,2.11444e-05,2.11444e-05
80,24.6291,0.63193,0.62272,1.03585,0.93001,0.39787,0.42357,0.31717,1.74548,2.34473,1.44335,2.04848e-05,2.04848e-05,2.04848e-05
81,24.96,0.60097,1.21929,1.09375,0.92491,0.39805,0.42421,0.29948,1.75993,2.36115,1.45419,1.98016e-05,1.98016e-05,1.98016e-05
82,25.2419,0.72633,0.66711,1.271,0.92491,0.39805,0.42421,0.29948,1.75993,2.36115,1.45419,1.90949e-05,1.90949e-05,1.90949e-05
83,25.5342,0.70307,0.78631,1.29803,0.92491,0.39805,0.42421,0.29948,1.75993,2.36115,1.45419,1.83646e-05,1.83646e-05,1.83646e-05
84,25.8132,0.69665,0.77093,1.06187,0.92694,0.39832,0.42609,0.30041,1.77371,2.32518,1.45731,1.76107e-05,1.76107e-05,1.76107e-05
85,26.1012,0.68125,0.86043,1.16431,0.92694,0.39832,0.42609,0.30041,1.77371,2.32518,1.45731,1.68333e-05,1.68333e-05,1.68333e-05
86,26.3949,0.60365,1.01548,1.07954,0.92694,0.39832,0.42609,0.30041,1.77371,2.32518,1.45731,1.60323e-05,1.60323e-05,1.60323e-05
87,26.6662,1.21659,1.60621,1.62764,0.92694,0.39832,0.42609,0.30041,1.77371,2.32518,1.45731,1.52077e-05,1.52077e-05,1.52077e-05
88,26.947,0.62762,0.91331,1.08788,0.89558,0.4,0.42768,0.29903,1.78768,2.31347,1.45738,1.43596e-05,1.43596e-05,1.43596e-05
89,27.2218,0.47412,0.86884,1.12806,0.89558,0.4,0.42768,0.29903,1.78768,2.31347,1.45738,1.34879e-05,1.34879e-05,1.34879e-05
